id;id_provincia;nombre
86056002;22;BELGICA
86049078;22;RODEO DE SORIA
86049077;22;PUESTITO DE SAN ANTONIO
86049075;22;MAL PASO
86049074;22;LOS POSITOS
86049073;22;LOS MORALES
86049069;22;EL DEAN
86049066;22;VUELTA DE LA BARRANCA
86049063;22;TUNAS PUNCO
86049061;22;TIPIRO
86049057;22;SANTIAGO DEL ESTERO
86049054;22;SAN LORENZO DE LOS SAYAGOS
86049049;22;SAN ANTONIO DE LOS CACERES
86049047;22;REMES
86049036;22;PALMA POZO
86049031;22;MAQUITO
86049030;22;MACO
86049026;22;LOS CARDOZOS
86049018;22;ESTACION ZANJON
86049016;22;ESTACION INGENIERO EZCURRA
86049015;22;EL ZANJON
86049014;22;EL PUESTITO
86049008;22;CONTRERAS
86049006;22;CHURQUI
86049001;22;ANTILO
86042025;22;POZO DULCE
86042023;22;LOS TABLEROS
86042020;22;LAS DOLORES
86042015;22;GUARDIA ESCOLTA
86042014;22;FORTIN INCA
86042001;22;ASPIRANTE
86035147;22;LA TAPERA
86035146;22;ARDILES DE LA COSTA
86035145;22;SIETE ARBOLES
